Date,Open,High,Low,Close,Volume
2017-07-19,72.943,73.6067,72.943,73.5631,2297400
2017-07-20,73.825,74.3403,73.7203,74.0172,2980600
2017-07-21,73.9036,74.2006,73.6329,73.9386,3064400
2017-07-24,73.9386,74.6984,73.8076,74.0085,3952200
2017-07-25,73.1351,73.7115,70.5412,71.7814,13319900
2017-07-26,71.2399,71.5107,70.777,71.4757,7030500
2017-07-27,71.4058,72.5325,71.1438,72.5063,5577400
2017-07-28,72.3753,72.681,72.0521,72.5762,3820100
2017-07-31,72.7857,73.1526,72.1657,72.1919,4083000
2017-08-01,72.3666,72.6198,71.7203,71.9386,3439400
2017-08-02,71.6679,71.7639,70.8032,71.4583,4574400
2017-08-03,71.2486,71.86,71.1788,71.5543,3688300
2017-08-04,71.5281,71.8949,71.4058,71.8862,2802600
2017-08-07,71.8862,71.9648,71.3709,71.6766,2769700
2017-08-08,71.5019,72.2443,71.2923,71.5892,3292600
2017-08-09,71.729,72.2617,71.5893,72.1133,2392100
2017-08-10,72.0871,72.0871,71.3185,71.6591,3367500
2017-08-11,71.8964,72.0459,71.2988,71.3251,2446400
2017-08-14,71.4921,71.791,71.3515,71.624,1879600
2017-08-15,71.6327,72.371,71.6327,71.8173,1949500
2017-08-16,72.1952,72.248,70.3319,70.9208,3970500
2017-08-17,70.6659,70.8153,68.2928,68.3807,7318200
2017-08-18,68.2928,68.2928,67.6248,67.7391,4061300
2017-08-21,67.783,68.2401,67.5809,68.0116,3638100
2017-08-22,68.1434,69.1278,68.1434,68.785,2131900
2017-08-23,68.7323,69.0135,68.6004,68.6883,1801500
2017-08-24,68.8466,69.6464,68.785,69.3124,4188400
2017-08-25,69.4003,69.9013,69.2069,69.2509,2171500
2017-08-28,69.5233,69.8134,69.1102,69.2948,1923200
2017-08-29,69.0311,69.2948,68.662,69.0399,2154300
2017-08-30,69.5233,70.9911,69.2157,70.745,5036900
2017-08-31,70.9911,71.5009,70.6132,71.4482,3939500
2017-09-01,71.6679,71.8173,69.8133,70.3847,4345000
2017-09-05,69.8485,70.3583,69.4794,70.1561,3384000
2017-09-06,70.4989,70.9032,70.1913,70.7626,2689200
2017-09-07,70.8593,72.7314,70.6395,71.6679,6249300
2017-09-08,71.7294,73.0566,71.6679,72.8808,3961300
2017-09-11,72.8984,73.2588,71.8701,72.6259,4389200
2017-09-12,72.5996,72.7138,72.0107,72.2216,2566400
2017-09-13,72.037,72.582,71.9667,72.4501,2454900
2017-09-14,72.3623,73.8213,72.1777,73.0127,3370300
2017-09-15,73.2148,73.4521,72.2304,72.4589,5374500
2017-09-18,72.5556,72.6611,72.1337,72.5293,2200000
2017-09-19,72.6347,72.8105,71.6767,71.8349,2259200
2017-09-20,72.1249,72.4414,71.5361,72.0898,2849900
2017-09-21,72.081,73.5664,71.9668,73.2412,4426700
2017-09-22,73.25,73.8565,72.7226,73.751,3148700
2017-09-25,73.7158,74.4014,73.6543,74.3926,4223800
2017-09-26,74.208,74.8233,73.8389,74.0234,2347200
2017-09-27,74.1289,74.5332,73.8037,74.4014,3085200
2017-09-28,74.3486,75.2188,73.9619,74.709,2841000
2017-09-29,74.8584,75.2451,74.1729,75.1836,3506100
2017-10-02,75.3946,76.1856,75.3594,75.8956,3071100
2017-10-03,75.7989,76.0801,75.5264,75.9835,2128800
2017-10-04,76.0274,76.6075,75.834,76.4317,2317700
2017-10-05,76.2647,78.3038,75.9307,77.0382,5221000
2017-10-06,76.7393,76.8975,76.1504,76.5372,2297200
2017-10-09,76.5899,76.713,75.9922,76.5108,1701400
2017-10-10,75.043,76.2032,74.9287,75.7286,4943700
2017-10-11,75.8956,76.168,75.1045,75.6407,3433200
